road_type,day_type,directionality,congestion_level,VPROFILE,hour,pct_hrly
Freeway,Weekday,AM_PEAK,Med,WDFMA,17,0.0619
Freeway,Weekday,AM_PEAK,Med,WDFMA,18,0.0476
Freeway,Weekday,AM_PEAK,Med,WDFMA,19,0.0361
Freeway,Weekday,AM_PEAK,Med,WDFMA,20,0.03
Freeway,Weekday,AM_PEAK,Med,WDFMA,21,0.0268
Freeway,Weekday,AM_PEAK,Med,WDFMA,22,0.0209
Freeway,Weekday,AM_PEAK,Med,WDFMA,23,0.0133
Freeway,Weekday,PM_PEAK,Med,WDFMP,0,0.0095
Freeway,Weekday,PM_PEAK,Med,WDFMP,1,0.0062
Freeway,Weekday,PM_PEAK,Med,WDFMP,2,0.0048
Freeway,Weekday,PM_PEAK,Med,WDFMP,3,0.0047
Freeway,Weekday,PM_PEAK,Med,WDFMP,4,0.0082
Freeway,Weekday,PM_PEAK,Med,WDFMP,5,0.021
Freeway,Weekday,PM_PEAK,Med,WDFMP,6,0.0458
Freeway,Weekday,PM_PEAK,Med,WDFMP,7,0.0591
Freeway,Weekday,PM_PEAK,Med,WDFMP,8,0.0517
Freeway,Weekday,PM_PEAK,Med,WDFMP,9,0.0462
Freeway,Weekday,PM_PEAK,Med,WDFMP,10,0.0488
Freeway,Weekday,PM_PEAK,Med,WDFMP,11,0.0533
Freeway,Weekday,PM_PEAK,Med,WDFMP,12,0.0555
Freeway,Weekday,PM_PEAK,Med,WDFMP,13,0.059
Freeway,Weekday,PM_PEAK,Med,WDFMP,14,0.0687
Freeway,Weekday,PM_PEAK,Med,WDFMP,15,0.0822
Freeway,Weekday,PM_PEAK,Med,WDFMP,16,0.0891
Freeway,Weekday,PM_PEAK,Med,WDFMP,17,0.0792
Freeway,Weekday,PM_PEAK,Med,WDFMP,18,0.0569
Freeway,Weekday,PM_PEAK,Med,WDFMP,19,0.0414
Freeway,Weekday,PM_PEAK,Med,WDFMP,20,0.0351
Freeway,Weekday,PM_PEAK,Med,WDFMP,21,0.0315
Freeway,Weekday,PM_PEAK,Med,WDFMP,22,0.0251
Freeway,Weekday,PM_PEAK,Med,WDFMP,23,0.017
Freeway,Weekday,AM_PEAK,Hi,WDFHA,0,0.0078
Freeway,Weekday,AM_PEAK,Hi,WDFHA,1,0.005
Freeway,Weekday,AM_PEAK,Hi,WDFHA,2,0.0038
Freeway,Weekday,AM_PEAK,Hi,WDFHA,3,0.0045
Freeway,Weekday,AM_PEAK,Hi,WDFHA,4,0.0105
Freeway,Weekday,AM_PEAK,Hi,WDFHA,5,0.033
Freeway,Weekday,AM_PEAK,Hi,WDFHA,6,0.0662
Freeway,Weekday,AM_PEAK,Hi,WDFHA,7,0.0782
Freeway,Weekday,AM_PEAK,Hi,WDFHA,8,0.0694
Freeway,Weekday,AM_PEAK,Hi,WDFHA,9,0.058
Freeway,Weekday,AM_PEAK,Hi,WDFHA,10,0.054
Freeway,Weekday,AM_PEAK,Hi,WDFHA,11,0.0548
Freeway,Weekday,AM_PEAK,Hi,WDFHA,12,0.0555
Freeway,Weekday,AM_PEAK,Hi,WDFHA,13,0.0576
Freeway,Weekday,AM_PEAK,Hi,WDFHA,14,0.0613
Freeway,Weekday,AM_PEAK,Hi,WDFHA,15,0.0651
Freeway,Weekday,AM_PEAK,Hi,WDFHA,16,0.066
Freeway,Weekday,AM_PEAK,Hi,WDFHA,17,0.0626
Freeway,Weekday,AM_PEAK,Hi,WDFHA,18,0.051
Freeway,Weekday,AM_PEAK,Hi,WDFHA,19,0.0385
Freeway,Weekday,AM_PEAK,Hi,WDFHA,20,0.0318
Freeway,Weekday,AM_PEAK,Hi,WDFHA,21,0.0287
Freeway,Weekday,AM_PEAK,Hi,WDFHA,22,0.0224
Freeway,Weekday,AM_PEAK,Hi,WDFHA,23,0.0143
Freeway,Weekday,PM_PEAK,Hi,WDFHP,0,0.009
Freeway,Weekday,PM_PEAK,Hi,WDFHP,1,0.0058
Freeway,Weekday,PM_PEAK,Hi,WDFHP,2,0.0043
Freeway,Weekday,PM_PEAK,Hi,WDFHP,3,0.0042
Freeway,Weekday,PM_PEAK,Hi,WDFHP,4,0.0078
Freeway,Weekday,PM_PEAK,Hi,WDFHP,5,0.0229
Freeway,Weekday,PM_PEAK,Hi,WDFHP,6,0.0516
Freeway,Weekday,PM_PEAK,Hi,WDFHP,7,0.0638
Freeway,Weekday,PM_PEAK,Hi,WDFHP,8,0.0568
Freeway,Weekday,PM_PEAK,Hi,WDFHP,9,0.0503
Freeway,Weekday,PM_PEAK,Hi,WDFHP,10,0.0513
Freeway,Weekday,PM_PEAK,Hi,WDFHP,11,0.0546
Freeway,Weekday,PM_PEAK,Hi,WDFHP,12,0.0562
Freeway,Weekday,PM_PEAK,Hi,WDFHP,13,0.0593
Freeway,Weekday,PM_PEAK,Hi,WDFHP,14,0.0669
Freeway,Weekday,PM_PEAK,Hi,WDFHP,15,0.0744
Freeway,Weekday,PM_PEAK,Hi,WDFHP,16,0.0768
Freeway,Weekday,PM_PEAK,Hi,WDFHP,17,0.0713
Freeway,Weekday,PM_PEAK,Hi,WDFHP,18,0.0576
Freeway,Weekday,PM_PEAK,Hi,WDFHP,19,0.0433
Freeway,Weekday,PM_PEAK,Hi,WDFHP,20,0.0362
Freeway,Weekday,PM_PEAK,Hi,WDFHP,21,0.0326
Freeway,Weekday,PM_PEAK,Hi,WDFHP,22,0.0261
Freeway,Weekday,PM_PEAK,Hi,WDFHP,23,0.0169
NonFreeway,Weekday,AM_PEAK,Low,WDALA,0,0.0057
NonFreeway,Weekday,AM_PEAK,Low,WDALA,1,0.0057
NonFreeway,Weekday,AM_PEAK,Low,WDALA,2,0.005
NonFreeway,Weekday,AM_PEAK,Low,WDALA,3,0.0054
NonFreeway,Weekday,AM_PEAK,Low,WDALA,4,0.0091
NonFreeway,Weekday,AM_PEAK,Low,WDALA,5,0.025
NonFreeway,Weekday,AM_PEAK,Low,WDALA,6,0.0604
NonFreeway,Weekday,AM_PEAK,Low,WDALA,7,0.0806
NonFreeway,Weekday,AM_PEAK,Low,WDALA,8,0.0654
NonFreeway,Weekday,AM_PEAK,Low,WDALA,9,0.0533
NonFreeway,Weekday,AM_PEAK,Low,WDALA,10,0.0547
NonFreeway,Weekday,AM_PEAK,Low,WDALA,11,0.0602
NonFreeway,Weekday,AM_PEAK,Low,WDALA,12,0.0635
NonFreeway,Weekday,AM_PEAK,Low,WDALA,13,0.063
NonFreeway,Weekday,AM_PEAK,Low,WDALA,14,0.0656
NonFreeway,Weekday,AM_PEAK,Low,WDALA,15,0.0688
NonFreeway,Weekday,AM_PEAK,Low,WDALA,16,0.0683
NonFreeway,Weekday,AM_PEAK,Low,WDALA,17,0.0616
NonFreeway,Weekday,AM_PEAK,Low,WDALA,18,0.0494
NonFreeway,Weekday,AM_PEAK,Low,WDALA,19,0.0395
NonFreeway,Weekday,AM_PEAK,Low,WDALA,20,0.0327
NonFreeway,Weekday,AM_PEAK,Low,WDALA,21,0.0267
NonFreeway,Weekday,AM_PEAK,Low,WDALA,22,0.0191
NonFreeway,Weekday,AM_PEAK,Low,WDALA,23,0.0113
NonFreeway,Weekday,PM_PEAK,Low,WDALP,0,0.0079
NonFreeway,Weekday,PM_PEAK,Low,WDALP,1,0.0048
NonFreeway,Weekday,PM_PEAK,Low,WDALP,2,0.0032
NonFreeway,Weekday,PM_PEAK,Low,WDALP,3,0.003
NonFreeway,Weekday,PM_PEAK,Low,WDALP,4,0.0051
NonFreeway,Weekday,PM_PEAK,Low,WDALP,5,0.0129
NonFreeway,Weekday,PM_PEAK,Low,WDALP,6,0.0309
NonFreeway,Weekday,PM_PEAK,Low,WDALP,7,0.0456
NonFreeway,Weekday,PM_PEAK,Low,WDALP,8,0.0459
NonFreeway,Weekday,PM_PEAK,Low,WDALP,9,0.0476
NonFreeway,Weekday,PM_PEAK,Low,WDALP,10,0.0541
NonFreeway,Weekday,PM_PEAK,Low,WDALP,11,0.0624
NonFreeway,Weekday,PM_PEAK,Low,WDALP,12,0.0656
NonFreeway,Weekday,PM_PEAK,Low,WDALP,13,0.0658
NonFreeway,Weekday,PM_PEAK,Low,WDALP,14,0.0731
NonFreeway,Weekday,PM_PEAK,Low,WDALP,15,0.0858
NonFreeway,Weekday,PM_PEAK,Low,WDALP,16,0.095
NonFreeway,Weekday,PM_PEAK,Low,WDALP,17,0.083
NonFreeway,Weekday,PM_PEAK,Low,WDALP,18,0.0578
NonFreeway,Weekday,PM_PEAK,Low,WDALP,19,0.0449
NonFreeway,Weekday,PM_PEAK,Low,WDALP,20,0.0375
NonFreeway,Weekday,PM_PEAK,Low,WDALP,21,0.0306
NonFreeway,Weekday,PM_PEAK,Low,WDALP,22,0.0227
NonFreeway,Weekday,PM_PEAK,Low,WDALP,23,0.0148
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,0,0.0063
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,1,0.0042
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,2,0.0033
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,3,0.004
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,4,0.0091
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,5,0.0261
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,6,0.0595
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,7,0.0762
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,8,0.0655
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,9,0.0536
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,10,0.0552
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,11,0.0604
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,12,0.0636
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,13,0.0633
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,14,0.065
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,15,0.0685
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,16,0.0699
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,17,0.0639
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,18,0.051
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,19,0.0403
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,20,0.0331
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,21,0.027
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,22,0.0193
NonFreeway,Weekday,AM_PEAK,Med,WDAMA,23,0.0117
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,0,0.0078
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,1,0.0047
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,2,0.0034
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,3,0.0034
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,4,0.0056
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,5,0.0144
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,6,0.0327
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,7,0.048
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,8,0.0471
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,9,0.0479
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,10,0.054
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,11,0.062
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,12,0.0654
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,13,0.0656
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,14,0.0715
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,15,0.0821
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,16,0.0895
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,17,0.0807
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,18,0.0601
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,19,0.047
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,20,0.0392
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,21,0.0312
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,22,0.0223
NonFreeway,Weekday,PM_PEAK,Med,WDAMP,23,0.0144
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,0,0.0069
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,1,0.0043
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,2,0.0036
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,3,0.0045
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,4,0.0107
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,5,0.0318
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,6,0.0611
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,7,0.0705
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,8,0.0604
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,9,0.0526
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,10,0.054
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,11,0.0582
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,12,0.0609
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,13,0.0624
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,14,0.0657
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,15,0.0687
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,16,0.0687
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,17,0.0635
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,18,0.0522
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,19,0.0421
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,20,0.0345
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,21,0.0285
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,22,0.0212
NonFreeway,Weekday,AM_PEAK,Hi,WDAHA,23,0.013
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,0,0.0081
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,1,0.005
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,2,0.0038
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,3,0.0042
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,4,0.0079
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,5,0.0198
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,6,0.0417
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,7,0.0557
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,8,0.0532
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,9,0.0502
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,10,0.0537
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,11,0.0595
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,12,0.0628
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,13,0.0642
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,14,0.0699
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,15,0.0762
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,16,0.0775
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,17,0.0715
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,18,0.0577
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,19,0.0473
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,20,0.0396
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,21,0.0319
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,22,0.0233
NonFreeway,Weekday,PM_PEAK,Hi,WDAHP,23,0.0153
Freeway,Weekend,Weekend,All,WEF,0,0.0187
Freeway,Weekend,Weekend,All,WEF,1,0.013
Freeway,Weekend,Weekend,All,WEF,2,0.0091
Freeway,Weekend,Weekend,All,WEF,3,0.0066
Freeway,Weekend,Weekend,All,WEF,4,0.0077
Freeway,Weekend,Weekend,All,WEF,5,0.0134
Freeway,Weekend,Weekend,All,WEF,6,0.0229
Freeway,Weekend,Weekend,All,WEF,7,0.0316
Freeway,Weekend,Weekend,All,WEF,8,0.0406
Freeway,Weekend,Weekend,All,WEF,9,0.0504
Freeway,Weekend,Weekend,All,WEF,10,0.0595
Freeway,Weekend,Weekend,All,WEF,11,0.0668
Freeway,Weekend,Weekend,All,WEF,12,0.0708
Freeway,Weekend,Weekend,All,WEF,13,0.0708
Freeway,Weekend,Weekend,All,WEF,14,0.0715
Freeway,Weekend,Weekend,All,WEF,15,0.0724
Freeway,Weekend,Weekend,All,WEF,16,0.0715
Freeway,Weekend,Weekend,All,WEF,17,0.067
Freeway,Weekend,Weekend,All,WEF,18,0.058
Freeway,Weekend,Weekend,All,WEF,19,0.048
Freeway,Weekend,Weekend,All,WEF,20,0.0406
Freeway,Weekend,Weekend,All,WEF,21,0.0358
Freeway,Weekend,Weekend,All,WEF,22,0.0296
Freeway,Weekend,Weekend,All,WEF,23,0.0237
NonFreeway,Weekend,Weekend,All,WEA,0,0.0174
NonFreeway,Weekend,Weekend,All,WEA,1,0.0118
NonFreeway,Weekend,Weekend,All,WEA,2,0.0077
NonFreeway,Weekend,Weekend,All,WEA,3,0.0054
NonFreeway,Weekend,Weekend,All,WEA,4,0.0061
NonFreeway,Weekend,Weekend,All,WEA,5,0.0104
NonFreeway,Weekend,Weekend,All,WEA,6,0.0185
NonFreeway,Weekend,Weekend,All,WEA,7,0.0277
NonFreeway,Weekend,Weekend,All,WEA,8,0.0388
NonFreeway,Weekend,Weekend,All,WEA,9,0.0515
NonFreeway,Weekend,Weekend,All,WEA,10,0.0625
NonFreeway,Weekend,Weekend,All,WEA,11,0.0716
NonFreeway,Weekend,Weekend,All,WEA,12,0.0768
NonFreeway,Weekend,Weekend,All,WEA,13,0.0768
NonFreeway,Weekend,Weekend,All,WEA,14,0.0765
NonFreeway,Weekend,Weekend,All,WEA,15,0.0756
NonFreeway,Weekend,Weekend,All,WEA,16,0.0724
NonFreeway,Weekend,Weekend,All,WEA,17,0.0657
NonFreeway,Weekend,Weekend,All,WEA,18,0.0568
NonFreeway,Weekend,Weekend,All,WEA,19,0.0475
NonFreeway,Weekend,Weekend,All,WEA,20,0.0401
NonFreeway,Weekend,Weekend,All,WEA,21,0.0339
NonFreeway,Weekend,Weekend,All,WEA,22,0.0268
NonFreeway,Weekend,Weekend,All,WEA,23,0.0217
Freeway,Weekday,EVEN_DIST,Hi,WDF55,0,0.01
Freeway,Weekday,EVEN_DIST,Hi,WDF55,1,0.0072
Freeway,Weekday,EVEN_DIST,Hi,WDF55,2,0.0058
Freeway,Weekday,EVEN_DIST,Hi,WDF55,3,0.0054
Freeway,Weekday,EVEN_DIST,Hi,WDF55,4,0.0098
Freeway,Weekday,EVEN_DIST,Hi,WDF55,5,0.0287
Freeway,Weekday,EVEN_DIST,Hi,WDF55,6,0.0583
Freeway,Weekday,EVEN_DIST,Hi,WDF55,7,0.0667
Freeway,Weekday,EVEN_DIST,Hi,WDF55,8,0.061
Freeway,Weekday,EVEN_DIST,Hi,WDF55,9,0.0557
Freeway,Weekday,EVEN_DIST,Hi,WDF55,10,0.0554
Freeway,Weekday,EVEN_DIST,Hi,WDF55,11,0.0565
Freeway,Weekday,EVEN_DIST,Hi,WDF55,12,0.0574
Freeway,Weekday,EVEN_DIST,Hi,WDF55,13,0.0594
Freeway,Weekday,EVEN_DIST,Hi,WDF55,14,0.0626
Freeway,Weekday,EVEN_DIST,Hi,WDF55,15,0.0666
Freeway,Weekday,EVEN_DIST,Hi,WDF55,16,0.0673
Freeway,Weekday,EVEN_DIST,Hi,WDF55,17,0.0622
Freeway,Weekday,EVEN_DIST,Hi,WDF55,18,0.0527
Freeway,Weekday,EVEN_DIST,Hi,WDF55,19,0.0425
Freeway,Weekday,EVEN_DIST,Hi,WDF55,20,0.0355
Freeway,Weekday,EVEN_DIST,Hi,WDF55,21,0.0315
Freeway,Weekday,EVEN_DIST,Hi,WDF55,22,0.0251
Freeway,Weekday,EVEN_DIST,Hi,WDF55,23,0.0167
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,0,0.0095
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,1,0.0069
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,2,0.0066
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,3,0.0077
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,4,0.018
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,5,0.0377
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,6,0.0544
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,7,0.0576
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,8,0.0531
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,9,0.0506
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,10,0.051
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,11,0.0548
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,12,0.0558
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,13,0.0566
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,14,0.0584
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,15,0.0611
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,16,0.0638
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,17,0.0626
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,18,0.0554
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,19,0.047
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,20,0.0439
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,21,0.0397
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,22,0.0295
NonFreeway,Weekday,EVEN_DIST,Hi,WDA55,23,0.0183
